"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26018791","S","12","RES","73 Highland Avenue","Bergenfield","$650,000","07/28/2026","$599,000","Contemp","","5,001","4","2","1","1","No","$11,352"
"1","26018205","S","14","RES","245 Coupe Place","North Arlington","$650,000","07/28/2026","$625,000","Cape Cod","","4,530","3","2","0","1","No","$9,216"
"1","26020625","S","22","RES","199 Linwood Avenue","Emerson","$645,000","07/31/2026","$649,000","Cape Cod","","5,632","4","2","0","","No","$12,664"
"1","26013799","S","17","RES","32 Pine Hill Road","Mahwah","$635,000","07/27/2026","$569,900","Cape Cod","","28,998","2","1","1","0","No","$4,432"
"1","26013426","S","28","RES","215 Henley Avenue","New Milford","$629,000","07/31/2026","$649,000","Cape Cod","","6,251","3","2","0","1","No","$11,659"
"1","26019036","S","17","RES","202 Colonial Avenue","Saddle Brook","$625,000","07/28/2026","$615,000","Ranch","","5,502","3","2","0","0","No","$9,257"
"1","26017490","S","35","RES","45 Avenue B","Lodi","$625,000","07/31/2026","$639,000","Ranch","","3,899","3","3","0","0","No","$7,710"
"1","26015311","S","26","RES","75 W Oakland Avenue","Oakland","$625,000","07/31/2026","$599,000","Cape Cod","","26,397","4","2","0","2","No","$10,204"
"1","26019657","S","6","RES","121 Wilmuth Street","Mahwah","$623,000","07/27/2026","$622,830","Cape Cod","","7,501","3","2","0","2","No","$6,273"
"1","26022120","S","19","RES","104 Arthur Street","Ridgefield Park","$612,500","07/31/2026","$599,000","Colonial","","5,001","3","2","0","","No","$11,160"
"1","26017133","S","17","RES","287 Madison Avenue","New Milford","$605,000","07/29/2026","$575,000","Cape Cod","","5,001","3","2","1","1","No","$11,474"
"1","26017826","S","31","RES","121 Highland Place","Ridgefield Park","$604,000","07/30/2026","$599,000","Colonial","","3,302","3","2","0","0","No","$11,515"
"1","26013833","S","37","RES","61 Highland Avenue","Bergenfield","$600,000","07/31/2026","$589,900","Cape Cod","","5,001","3","2","0","0","No","$9,330"
"1","26017891","S","13","RES","1-26 34th                 Street","Fair Lawn","$595,000","07/28/2026","$525,000","Cape Cod","","6,120","3","1","0","1","No","$9,749"
"1","26018415","S","30","RES","47 Christie Street","Ridgefield Park","$585,000","07/31/2026","$549,000","Cape Cod","","6,874","4","1","0","","No","$13,887"
"1","26021875","S","12","RES","79 Truman Boulevard","Oakland","$583,000","07/31/2026","$550,000","BiLvl","","59,285","4","2","0","1","No","$10,354"
"1","26016818","S","20","RES","56 Garwood              Court","Garfield","$562,000","07/28/2026","$515,000","Cape Cod","","5,106","2","2","0","1","No","$8,496"
"1","26019502","S","13","RES","29 Graham Terrace","Saddle Brook","$560,000","07/31/2026","$549,000","Ranch","","5,249","3","1","0","","No","$8,125"
"1","26013968","S","50","RES","37 Noel                 Drive","North Arlington","$560,000","07/31/2026","$579,900","Colonial","","","3","1","0","","No","$9,421"
"1","26019170","S","20","RES","7 Westminster Place","Garfield","$545,000","07/27/2026","$525,000","BiLvl","","2,594","4","3","0","","No","$6,250"
"1","26020619","S","20","RES","24 Erie Street","Dumont","$525,000","07/31/2026","$499,999","Colonial","","4,561","3","1","0","","No","$9,914"
"1","26022420","S","9","RES","105 Sherwood Avenue","Mahwah","$519,000","07/28/2026","$479,000","Colonial","","5,449","3","1","0","1","No","$5,703"
"1","26015144","S","4","RES","27 Roosevelt Avenue","Dumont","$500,000","07/29/2026","$548,000","Colonial","","5,401","3","1","0","1","No","$11,857"
"1","26016994","S","20","RES","1142 Stasia Street","Teaneck","$460,000","07/28/2026","$499,000","Colonial","","5,001","3","1","0","2","No","$11,221"
"1","26019966","S","20","RES","83 E Forest Avenue","Teaneck","$420,000","07/31/2026","$419,900","Colonial","","5,001","3","2","0","2","No","$11,405"
"1","26010676","S","17","RES","248 Rudolph Avenue","Elmwood Park","$387,000","07/27/2026","$299,000","Cape Cod","","7,957","2","1","0","","No","$7,957"
"1","26023093","S","34","RES","600 #67 Pulis               ","Mahwah","$95,000","07/31/2026","$99,900","Mobile Home","","","1","1","0","0","No","$0"
