"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26012475","S","22","CCT","234 Columbia Avenue Unit#19","Fort Lee","$330,000","06/18/2026","$325,000","Condo","","","2","1","1","0","No","$6,611"
"1","26009436","S","76","CCT","2160 Center Avenue Unit#4R","Fort Lee","$330,000","06/10/2026","$345,000","Condo","828","","1","1","0","0","No","$4,725"
"1","26013305","S","42","CCT","155 Union Avenue Unit#201","Rutherford","$325,000","06/29/2026","$349,000","Condo","690","","1","1","0","","No","$5,977"
"1","26009120","S","43","CCT","275 Engle                Street Unit#P4","Englewood","$319,000","06/24/2026","$339,000","Condo","1,192","","2","1","0","0","No","$7,640"
"1","26003478","S","103","CCT","1206 Sycamore Lane","Mahwah","$317,000","06/23/2026","$325,000","Condo","605","","1","1","0","","No","$4,604"
"1","26017039","S","27","CCT","2350 Linwood Avenue Unit#1E","Fort Lee","$315,000","06/26/2026","$329,000","Condo","","","1","1","0","","No","$5,400"
"1","26016506","S","13","CCT","1203 River Road Unit#9G","Edgewater","$315,000","06/17/2026","$290,000","Condo","600","","0","1","0","","Yes","$3,823"
"1","26014838","S","34","CCT","241 Johnson Avenue Unit#M2","Hackensack","$315,000","06/29/2026","$315,000","Condo","846","","2","1","0","","No","$5,975"
"1","26013612","S","21","CCT","446 Passaic Street Unit#6E","Hackensack","$315,000","06/09/2026","$285,000","Condo","690","","1","1","0","0","No","$5,673"
"1","26010662","S","9","CCT","75 Union Street Unit#5E","Hackensack","$315,000","06/30/2026","$334,000","Condo","957","","2","2","0","","No","$6,454"
"1","26001768","S","56","CCT","2200 N Central              Road Unit#15E","Fort Lee","$315,000","06/05/2026","$349,000","Co-op","","","2","2","0","","Yes",""
"1","25044078","S","14","CCT","3901 Broadway             Unit#B","Fair Lawn","$305,000","06/17/2026","$285,000","Condo","","","1","1","0","1","No","$5,480"
"1","26014531","S","11","CCT","316 Prospect             Avenue Unit#10D","Hackensack","$300,000","06/29/2026","$300,000","Condo","1,040","","1","1","0","","Yes","$7,101"
"1","25040019","S","65","CCT","130 Glenbrook Parkway Unit#5E","Englewood","$295,000","06/11/2026","$299,000","Condo","756","","2","1","0","","No","$5,224"
"1","25042664","S","81","CCT","462C Liberty Street Unit#312","Little Ferry","$294,500","06/03/2026","$294,750","Condo","","","1","1","0","","Yes","$5,788"
"1","26011575","S","34","CCT","301 Beech Street Unit#2F","Hackensack","$290,000","06/12/2026","$295,000","Condo","965","","1","1","0","","Yes","$6,351"
"1","26014660","S","12","CCT","470B Liberty Street Unit#308","Little Ferry","$289,000","06/17/2026","$289,000","Condo","","","1","1","0","","Yes","$5,758"
"1","26002329","S","26","CCT","151 Prospect             Avenue Unit#19A","Hackensack","$281,000","06/02/2026","$289,000","Co-op","842","","1","1","0","","Yes","$0"
"1","26008442","S","4","CCT","250 Gorge Road Unit#6A","Cliffside Park","$280,000","06/01/2026","$280,000","Co-op","925","","1","1","0","","Yes",""
"1","25044090","S","120","CCT","907 Thoreau Court","Mahwah","$275,000","06/04/2026","$289,000","Condo","627","","1","1","0","0","Yes","$3,509"
"1","26012392","S","32","CCT","755 Anderson Avenue Unit#4J","Cliffside Park","$273,500","06/22/2026","$279,900","Condo","741","","1","1","0","","No","$4,694"
"1","26013583","S","15","CCT","2200 N Central Road Unit#2B","Fort Lee","$269,000","06/19/2026","$269,000","Co-op","852","","1","1","0","","Yes",""
"1","26005900","S","72","CCT","201 12th Street Unit#6","Palisades Park","$259,500","06/18/2026","$259,500","Condo","583","","1","1","0","1","No","$3,362"
"1","25024556","S","156","CCT","2185 Lemoine              Avenue Unit#2G","Fort Lee","$250,000","06/09/2026","$249,999","Co-op","1,200","","2","2","0","","Yes",""
"1","26015741","S","2","CCT","90 Prospect Avenue Unit#8C","Hackensack","$239,900","06/26/2026","$239,900","Condo","642","","0","1","0","1","No","$4,634"
"1","26011271","S","20","CCT","2000 Linwood Avenue Unit#14D","Fort Lee","$238,000","06/23/2026","$260,000","Condo","725","","1","1","0","","Yes","$5,481"
"1","26009577","S","70","CCT","9 Vreeland             Street Unit#2F","Hackensack","$235,000","06/04/2026","$249,900","Condo","","","1","1","0","1","No","$4,162"
"1","26012858","S","26","CCT","2160 Center Avenue Unit#5P","Fort Lee","$233,000","06/05/2026","$249,999","Condo","749","","1","1","0","","No","$4,460"
"1","26000416","S","82","CCT","5 Horizon              Road Unit#2504","Fort Lee","$225,000","06/24/2026","$225,000","Co-op","1,062","","1","1","0","","Yes",""
"1","26007055","S","19","CCT","2100 Linwood              Unit#17N","Fort Lee","$199,000","06/10/2026","$199,000","Co-op","860","","1","1","0","1","Yes",""
"1","26006701","S","77","CCT","125 Prospect Avenue Unit#17G","Hackensack","$190,000","06/13/2026","$199,000","Co-op","174,398","","1","1","0","1","No",""
"1","25025319","S","42","CCT","985 Teaneck              Unit#1J","Teaneck","$171,500","06/01/2026","$174,999","Co-op","","","1","1","0","","No",""
"1","26022545","S","143","CCT","203 DARWIN               Avenue Unit#A","Rutherford","$170,000","06/11/2026","$179,000","Co-op","","","1","1","0","","No",""
"1","26013047","S","14","CCT","3071 Edwin Avenue Unit#5H","Fort Lee","$162,000","06/15/2026","$159,000","Co-op","","","0","1","0","","No",""
"1","26005706","S","108","CCT","205 Bergen Turnpike      Unit#2E","Ridgefield Park","$155,500","06/12/2026","$164,990","Co-op","","","1","1","0","","Yes","$0"
"1","26001388","S","82","CCT","3020 Edwin                Avenue Unit#2J","Fort Lee","$150,000","06/05/2026","$155,000","Co-op","","","0","1","0","","No",""
"1","26005464","S","120","CCT","1 Horizon              Unit#G2","Fort Lee","$145,000","06/26/2026","$150,000","Co-op","","","2","2","0","1","Yes",""
